case_id,label,predictions_true,nr_prefixes
201559,false,0.6567,1
201562,true,0.5533,1
201565,false,0.0767,1
201568,true,0.2467,1
201571,false,0.0667,1
201580,false,0.0267,1
201599,false,0.2500,1
201602,false,0.4167,1
201605,true,0.4467,1
201608,false,0.0667,1
201611,true,0.3967,1
201614,false,0.8800,1
201617,true,0.5511,1
201620,false,0.0133,1
201626,false,0.4167,1
201629,false,0.2333,1
201635,false,0.0833,1
201644,false,0.7133,1
201662,true,0.8600,1
201665,false,0.0600,1
201668,true,0.1167,1
201671,false,0.5174,1
201674,true,0.5333,1
201677,true,0.6967,1
201680,true,0.4300,1
201683,false,0.6600,1
201686,false,0.6633,1
201689,false,0.3467,1
201692,false,0.6100,1
201695,false,0.5733,1
201701,false,0.3933,1
201704,true,0.5233,1
201710,true,0.4500,1
201713,false,0.5133,1
201716,true,0.3167,1
201719,false,0.5967,1
201722,false,0.4633,1
201725,true,0.1267,1
201728,false,0.0667,1
201731,false,0.2467,1
201737,false,0.3033,1
201740,true,0.6767,1
201743,true,0.3767,1
201746,false,0.0900,1
201749,true,0.3333,1
201752,false,0.1867,1
201755,true,0.3467,1
201758,true,0.1567,1
201761,true,0.1233,1
201767,false,0.1833,1
201770,true,0.6300,1
201776,false,0.2533,1
201779,true,0.0267,1
201782,false,0.4733,1
201794,true,0.4800,1
201797,true,0.1067,1
201800,false,0.0900,1
201803,false,0.3900,1
201812,false,0.0767,1
201815,false,0.6833,1
201821,false,0.3467,1
201824,true,0.7267,1
201830,false,0.0767,1
201833,true,0.5667,1
201836,true,0.1867,1
201839,false,0.2700,1
201842,true,0.2600,1
201845,true,0.1233,1
201848,true,0.6002,1
201851,false,0.0700,1
201854,true,0.7367,1
201857,false,0.0400,1
201879,false,0.1333,1
201882,true,0.0033,1
201885,true,0.1433,1
201888,false,0.4233,1
201891,true,0.4333,1
201894,false,0.2100,1
201895,true,0.6267,1
201900,false,0.0333,1
201903,false,0.0000,1
201906,false,0.6600,1
201909,true,0.5400,1
201912,false,0.1867,1
201915,true,0.3067,1
201918,false,0.1433,1
201921,true,0.3233,1
201924,false,0.5233,1
201927,true,0.6600,1
201930,false,0.4067,1
201933,false,0.0033,1
201936,true,0.4700,1
201939,false,0.0567,1
201942,false,0.1267,1
201945,false,0.4067,1
201948,false,0.5033,1
201951,true,0.1100,1
201954,false,0.6667,1
201960,false,0.6793,1
201963,false,0.5433,1
201966,false,0.3786,1
201969,false,0.0067,1
201972,false,0.6300,1
201975,false,0.6300,1
201978,false,0.6500,1
201981,false,0.5433,1
201984,false,0.4350,1
201987,false,0.1969,1
201990,false,0.6419,1
201993,false,0.0522,1
201996,false,0.1700,1
201999,false,0.1600,1
202002,false,0.5700,1
202005,false,0.4233,1
202008,false,0.1300,1
202011,false,0.0817,1
202014,false,0.0200,1
202020,true,0.6733,1
202023,false,0.7700,1
202026,true,0.1333,1
202029,false,0.1300,1
202032,false,0.2100,1
202035,true,0.6267,1
202038,true,0.0933,1
202039,true,0.4872,1
202044,true,0.4067,1
202047,true,0.5267,1
202050,true,0.5822,1
202056,true,0.3383,1
202059,false,0.4200,1
202062,false,0.0200,1
202065,false,0.3033,1
202068,true,0.4400,1
202071,true,0.5108,1
202074,true,0.3233,1
202077,false,0.2667,1
202080,true,0.1733,1
202083,false,0.1200,1
202086,true,0.2633,1
202089,false,0.8033,1
202095,false,0.6336,1
202101,false,0.1600,1
202107,false,0.3267,1
202110,true,0.2133,1
202113,false,0.6533,1
202116,false,0.2133,1
202119,false,0.3867,1
202122,false,0.2500,1
202125,false,0.0033,1
202128,false,0.1033,1
202134,false,0.2324,1
202137,false,0.1314,1
202140,false,0.2983,1
202143,false,0.2033,1
202146,false,0.5133,1
202149,true,0.0167,1
202152,false,0.1433,1
202155,false,0.0267,1
202158,false,0.3067,1
202159,false,0.0733,1
202164,false,0.1400,1
202170,false,0.1800,1
202173,false,0.1667,1
202179,false,0.0867,1
202182,true,0.3800,1
202185,true,0.0600,1
202191,false,0.1600,1
202199,false,0.0933,1
202202,false,0.2650,1
202205,false,0.3733,1
202208,false,0.5000,1
202211,true,0.3633,1
202223,true,0.0967,1
202238,false,0.3668,1
202241,false,0.0233,1
202247,false,0.8767,1
202253,false,0.4333,1
202256,true,0.0800,1
202259,true,0.1667,1
202265,false,0.1100,1
202268,false,0.5400,1
202271,true,0.5033,1
202277,false,0.0906,1
202283,false,0.1633,1
202289,true,0.7200,1
202292,false,0.1067,1
202298,false,0.2000,1
202301,false,0.1333,1
202304,false,0.1300,1
202307,true,0.1433,1
202310,false,0.2100,1
202319,false,0.3567,1
202322,false,0.0167,1
202325,true,0.5767,1
202331,false,0.0833,1
202334,false,0.1733,1
202340,true,0.7567,1
202343,true,0.3333,1
202346,false,0.6067,1
202352,false,0.0133,1
202355,false,0.0433,1
202358,true,0.5100,1
202361,true,0.4267,1
202373,true,0.4600,1
202379,true,0.0900,1
202382,true,0.0507,1
202385,true,0.2700,1
202388,true,0.1239,1
202391,false,0.1856,1
202397,true,0.5567,1
202418,true,0.1167,1
202421,false,0.2400,1
202424,false,0.0433,1
202427,false,0.3467,1
202439,false,0.0033,1
202442,true,0.3033,1
202445,false,0.4277,1
202448,false,0.3767,1
202457,true,0.2433,1
202479,true,0.3533,1
202485,false,0.4667,1
202494,false,0.4033,1
202512,false,0.4767,1
202515,false,0.4567,1
202518,false,0.1067,1
202521,true,0.3600,1
202524,true,0.3933,1
202527,false,0.5800,1
202530,false,0.3233,1
202533,false,0.5267,1
202536,true,0.3267,1
202539,true,0.3500,1
202542,true,0.2233,1
202545,true,0.3133,1
202548,true,0.4100,1
202551,false,0.6533,1
202563,false,0.3033,1
202566,false,0.4300,1
202569,true,0.4733,1
202572,false,0.4267,1
202575,false,0.4100,1
202578,false,0.1600,1
202593,false,0.1067,1
202596,true,0.3133,1
202599,true,0.5367,1
202602,true,0.4867,1
202605,false,0.2267,1
202611,false,0.1567,1
202614,false,0.4533,1
202617,false,0.4467,1
202620,true,0.4600,1
202632,true,0.4633,1
202638,false,0.3667,1
202641,true,0.0633,1
202647,true,0.1300,1
202650,true,0.4400,1
202653,false,0.1344,1
202656,false,0.4467,1
202659,false,0.4333,1
202665,false,0.0867,1
202668,false,0.3200,1
202677,false,0.0600,1
202680,false,0.3200,1
202683,false,0.2433,1
202686,false,0.4067,1
202689,false,0.4367,1
202692,false,0.7833,1
202701,true,0.7400,1
202710,false,0.1100,1
202713,false,0.2433,1
202716,true,0.5300,1
202719,false,0.5233,1
202728,false,0.2000,1
202731,false,0.4933,1
202734,false,0.2367,1
202737,true,0.4333,1
202740,true,0.1935,1
202743,true,0.4533,1
202746,false,0.5967,1
202755,true,0.4267,1
202758,false,0.1233,1
202767,false,0.3233,1
202770,false,0.3100,1
202773,false,0.3667,1
202776,false,0.3598,1
202779,false,0.4633,1
202782,false,0.2761,1
202785,false,0.7900,1
202788,false,0.0233,1
202797,true,0.2433,1
202800,false,0.3133,1
202803,false,0.1467,1
202809,true,0.4067,1
202812,false,0.4833,1
202815,false,0.4300,1
202818,false,0.6167,1
202821,false,0.2400,1
202824,true,0.4900,1
202830,true,0.6067,1
202833,false,0.3000,1
202836,false,0.6567,1
202839,false,0.1700,1
202842,true,0.3967,1
202845,false,0.3000,1
202848,false,0.1667,1
202854,false,0.4300,1
202860,false,0.1633,1
202866,true,0.2011,1
202869,false,0.6633,1
202872,false,0.1467,1
