case_id,label,predictions_true,nr_prefixes
c_1002567868,false,0.5081,1
c_1002747267,false,0.5649,1
c_100886157,false,0.4876,1
c_1009170679,false,0.4714,1
c_1009850069,false,0.5218,1
c_1010390571,false,0.5081,1
c_1012862839,false,0.5179,1
c_1013192848,false,0.4715,1
c_1017053119,false,0.4638,1
c_1017644369,false,0.5418,1
c_1018249155,false,0.5733,1
c_1018266027,false,0.2886,1
c_1019849833,false,0.5154,1
c_102041449,false,0.5656,1
c_1022084723,false,0.5656,1
c_1023366085,false,0.5656,1
c_1024176807,false,0.4056,1
c_1025001096,false,0.4335,1
c_1025696634,false,0.5720,1
c_1030645475,false,0.5733,1
c_103087302,false,0.5656,1
c_103241719,false,0.6254,1
c_1034123285,false,0.5154,1
c_1036492833,false,0.4663,1
c_1037792917,false,0.3229,1
c_1038660996,false,0.4719,1
c_1039200421,false,0.5480,1
c_104045138,false,0.6585,1
c_1041474698,false,0.4997,1
c_1042553173,false,0.5745,1
c_1043190619,false,0.1700,1
c_1043782904,false,0.5656,1
c_1045162022,false,0.3779,1
c_104674625,false,0.4457,1
c_1047194763,false,0.5345,1
c_1048060037,false,0.5468,1
c_1049619167,false,0.4997,1
c_1056684759,false,0.4711,1
c_1059867108,false,0.6158,1
c_1063519740,false,0.3197,1
c_1066046865,false,0.5656,1
c_1068144226,false,0.5458,1
c_107207908,false,0.4259,1
c_1072284879,false,0.5070,1
c_1074738376,false,0.3692,1
c_1077448995,false,0.6052,1
c_1077802585,false,0.4259,1
c_1079472664,false,0.5458,1
c_1079589,false,0.5692,1
c_107990461,false,0.5468,1
c_1081779435,false,0.4651,1
c_1084818261,false,0.5154,1
c_1086182019,false,0.4533,1
c_109019861,false,0.4618,1
c_1091000447,false,0.5293,1
c_1092918410,false,0.4158,1
c_1094370739,false,0.4997,1
c_1095638977,false,0.5418,1
c_1098309211,false,0.4593,1
c_1099430757,false,0.4650,1
c_1099663893,false,0.5097,1
c_109999371,false,0.5720,1
c_1101581774,false,0.4991,1
c_1102024188,false,0.2233,1
c_1102768033,false,0.6158,1
c_1104023817,false,0.5156,1
c_1104697616,false,0.3643,1
c_1105710144,false,0.6052,1
c_1107169322,false,0.4623,1
c_1109500523,false,0.6392,1
c_1111014911,false,0.4462,1
c_1111057678,false,0.4584,1
c_1111168705,false,0.5591,1
c_1112696012,false,0.4997,1
c_1116736783,false,0.4215,1
c_1118140052,false,0.4991,1
c_1119346613,false,0.6158,1
c_1120330039,false,0.5156,1
c_1120345453,false,0.5975,1
c_112225006,false,0.5156,1
c_1122739100,false,0.5656,1
c_1124052442,false,0.5458,1
c_1124681080,false,0.5394,1
c_1124966685,false,0.5398,1
c_1125350344,false,0.5458,1
c_1128308263,false,0.5154,1
c_1130105636,false,0.5282,1
c_1130289017,false,0.6673,1
c_1130845322,false,0.6158,1
c_1131149871,false,0.5372,1
c_1131195736,false,0.5492,1
c_1131588689,false,0.5218,1
c_1135553856,false,0.6158,1
c_1136188668,false,0.4997,1
c_1137251453,false,0.4997,1
c_1139089034,false,0.5312,1
c_1139528532,false,0.4595,1
c_1140019355,false,0.5537,1
c_1140236377,false,0.5312,1
c_1140953198,false,0.6052,1
c_1143978311,false,0.5066,1
c_1144411709,false,0.2579,1
c_1145050189,false,0.5446,1
c_1145290276,false,0.5776,1
c_114560083,false,0.5494,1
c_1145960664,false,0.5458,1
c_1151018525,false,0.5372,1
c_1151598575,false,0.4205,1
c_1152706558,false,0.5547,1
c_115875432,false,0.4638,1
c_1159647718,false,0.5902,1
c_1160345889,false,0.4988,1
c_1160716330,false,0.4750,1
c_1161266589,false,0.4342,1
c_1163193079,false,0.5480,1
c_1163291654,false,0.5468,1
c_1164113596,false,0.5282,1
c_1164895484,false,0.5043,1
c_1165924661,false,0.5323,1
c_1166032926,false,0.5458,1
c_1170931347,false,0.4989,1
c_1174968511,false,0.5581,1
c_1175093878,false,0.3248,1
c_1176095926,false,0.5238,1
c_1176372876,false,0.4957,1
c_117667027,false,0.4719,1
c_1178554291,false,0.4387,1
c_1179073626,false,0.5097,1
c_1180717049,false,0.5499,1
c_1181289999,false,0.2395,1
c_1183136852,false,0.5656,1
c_1183534481,false,0.2968,1
c_118364998,false,0.6158,1
c_1184507659,false,0.4524,1
c_1191532637,false,0.5558,1
c_1191648553,false,0.6603,1
c_1191708035,false,0.4462,1
c_1191734939,false,0.3741,1
c_1191906778,false,0.2829,1
c_1194598473,false,0.6513,1
c_1196891456,false,0.5154,1
c_1197487517,false,0.5494,1
c_1201267547,false,0.6158,1
c_1202415638,false,0.5154,1
c_1202702224,false,0.5776,1
c_1204431926,false,0.6166,1
c_1206779440,false,0.5893,1
c_1207519267,false,0.5154,1
c_1208202898,false,0.5439,1
c_1209671482,false,0.5480,1
c_1210140571,false,0.5649,1
c_1210876281,false,0.3004,1
c_1212433332,false,0.5612,1
c_1213009008,false,0.4342,1
c_1213499868,false,0.5081,1
c_1213737526,false,0.1686,1
c_1216887388,false,0.3178,1
c_121770332,false,0.4989,1
c_1219106800,false,0.5286,1
c_1219509855,false,0.5312,1
c_1220006118,false,0.6609,1
c_1222681139,false,0.4566,1
c_1223404910,false,0.5458,1
c_1225769256,false,0.5218,1
c_1226041324,false,0.5097,1
c_1226442731,false,0.6052,1
c_1226994121,false,0.6005,1
c_1228403719,false,0.4342,1
c_1228567666,false,0.5581,1
c_12315854,false,0.5720,1
c_12324686,false,0.4416,1
c_1237708187,false,0.5154,1
c_1240814574,false,0.2592,1
c_1241999769,false,0.5218,1
c_1242315969,false,0.5154,1
c_1243342863,false,0.4457,1
c_1243522820,false,0.4233,1
c_1245298665,false,0.4719,1
c_1248532589,false,0.4463,1
c_1248765312,false,0.4588,1
c_1253032803,false,0.5492,1
c_1254085728,false,0.5418,1
c_1254258895,false,0.3325,1
c_125718857,false,0.4545,1
c_1257836355,false,0.4651,1
c_1258641337,false,0.5312,1
c_125959990,false,0.5494,1
c_1261424268,false,0.5097,1
c_1264806747,false,0.5581,1
c_1266010499,false,0.5286,1
c_1268336526,false,0.6179,1
c_1270175388,false,0.5282,1
c_1271159721,false,0.5492,1
c_12716824,false,0.5345,1
c_1273686478,false,0.1700,1
c_1273899378,false,0.4335,1
c_1275152820,false,0.5218,1
c_1275708382,false,0.5372,1
c_1277202210,false,0.3457,1
c_1277464254,false,0.5154,1
