case_id,label,predictions_true,nr_prefixes
c_1002567868,false,0.4600,1
c_1002747267,false,0.6209,1
c_100886157,false,0.5156,1
c_1009170679,false,0.4921,1
c_1009850069,false,0.5001,1
c_1010390571,false,0.4600,1
c_1012862839,false,0.4316,1
c_1013192848,false,0.3732,1
c_1017053119,false,0.5153,1
c_1017644369,false,0.5181,1
c_1018249155,false,0.5801,1
c_1018266027,false,0.2318,1
c_1019849833,false,0.4995,1
c_102041449,false,0.5185,1
c_1022084723,false,0.5185,1
c_1023366085,false,0.5623,1
c_1024176807,false,0.4451,1
c_1025001096,false,0.4079,1
c_1025696634,false,0.5418,1
c_1030645475,false,0.5801,1
c_103087302,false,0.5623,1
c_103241719,false,0.7024,1
c_1034123285,false,0.4995,1
c_1036492833,false,0.4619,1
c_1037792917,false,0.2957,1
c_1038660996,false,0.5138,1
c_1039200421,false,0.5081,1
c_104045138,false,0.9423,1
c_1041474698,false,0.5307,1
c_1042553173,false,0.6075,1
c_1043190619,false,0.0222,1
c_1043782904,false,0.5185,1
c_1045162022,false,0.3833,1
c_104674625,false,0.4728,1
c_1047194763,false,0.5160,1
c_1048060037,false,0.5389,1
c_1049619167,false,0.5307,1
c_1056684759,false,0.4394,1
c_1059867108,false,0.6541,1
c_1063519740,false,0.2315,1
c_1066046865,false,0.5623,1
c_1068144226,false,0.5477,1
c_107207908,false,0.3597,1
c_1072284879,false,0.6373,1
c_1074738376,false,0.9450,1
c_1077448995,false,0.6413,1
c_1077802585,false,0.3597,1
c_1079472664,false,0.5477,1
c_1079589,false,0.5636,1
c_107990461,false,0.5389,1
c_1081779435,false,0.5058,1
c_1084818261,false,0.5055,1
c_1086182019,false,0.5654,1
c_109019861,false,0.4438,1
c_1091000447,false,0.5721,1
c_1092918410,false,0.4682,1
c_1094370739,false,0.4619,1
c_1095638977,false,0.5181,1
c_1098309211,false,0.5189,1
c_1099430757,false,0.5483,1
c_1099663893,false,0.5156,1
c_109999371,false,0.5418,1
c_1101581774,false,0.4865,1
c_1102024188,false,0.2262,1
c_1102768033,false,0.6541,1
c_1104023817,false,0.5051,1
c_1104697616,false,0.4408,1
c_1105710144,false,0.6413,1
c_1107169322,false,0.4694,1
c_1109500523,false,0.6497,1
c_1111014911,false,0.5182,1
c_1111057678,false,0.4344,1
c_1111168705,false,0.5133,1
c_1112696012,false,0.5307,1
c_1116736783,false,0.6052,1
c_1118140052,false,0.4865,1
c_1119346613,false,0.6541,1
c_1120330039,false,0.5323,1
c_1120345453,false,0.5902,1
c_112225006,false,0.5323,1
c_1122739100,false,0.5623,1
c_1124052442,false,0.5477,1
c_1124681080,false,0.5317,1
c_1124966685,false,0.4546,1
c_1125350344,false,0.5743,1
c_1128308263,false,0.4995,1
c_1130105636,false,0.5016,1
c_1130289017,false,0.6872,1
c_1130845322,false,0.6541,1
c_1131149871,false,0.5709,1
c_1131195736,false,0.5217,1
c_1131588689,false,0.5001,1
c_1135553856,false,0.6541,1
c_1136188668,false,0.4619,1
c_1137251453,false,0.4619,1
c_1139089034,false,0.5018,1
c_1139528532,false,0.5585,1
c_1140019355,false,0.5513,1
c_1140236377,false,0.5018,1
c_1140953198,false,0.6413,1
c_1143978311,false,0.4718,1
c_1144411709,false,0.1833,1
c_1145050189,false,0.5059,1
c_1145290276,false,0.5336,1
c_114560083,false,0.5736,1
c_1145960664,false,0.5477,1
c_1151018525,false,0.5709,1
c_1151598575,false,0.3966,1
c_1152706558,false,0.5097,1
c_115875432,false,0.5153,1
c_1159647718,false,0.6342,1
c_1160345889,false,0.6223,1
c_1160716330,false,0.4844,1
c_1161266589,false,0.3808,1
c_1163193079,false,0.5081,1
c_1163291654,false,0.5389,1
c_1164113596,false,0.5016,1
c_1164895484,false,0.5155,1
c_1165924661,false,0.5880,1
c_1166032926,false,0.5743,1
c_1170931347,false,0.5259,1
c_1174968511,false,0.5915,1
c_1175093878,false,0.2395,1
c_1176095926,false,0.5824,1
c_1176372876,false,0.4718,1
c_117667027,false,0.5138,1
c_1178554291,false,0.1906,1
c_1179073626,false,0.5156,1
c_1180717049,false,0.5694,1
c_1181289999,false,0.2262,1
c_1183136852,false,0.5185,1
c_1183534481,false,0.0094,1
c_118364998,false,0.6978,1
c_1184507659,false,0.4354,1
c_1191532637,false,0.6453,1
c_1191648553,false,0.8211,1
c_1191708035,false,0.5182,1
c_1191734939,false,0.5753,1
c_1191906778,false,0.2648,1
c_1194598473,false,0.8310,1
c_1196891456,false,0.5055,1
c_1197487517,false,0.5736,1
c_1201267547,false,0.6541,1
c_1202415638,false,0.5055,1
c_1202702224,false,0.5336,1
c_1204431926,false,0.7060,1
c_1206779440,false,0.5664,1
c_1207519267,false,0.4995,1
c_1208202898,false,0.4968,1
c_1209671482,false,0.5081,1
c_1210140571,false,0.6209,1
c_1210876281,false,0.3935,1
c_1212433332,false,0.6370,1
c_1213009008,false,0.4802,1
c_1213499868,false,0.4600,1
c_1213737526,false,0.1760,1
c_1216887388,false,0.3288,1
c_121770332,false,0.5259,1
c_1219106800,false,0.5414,1
c_1219509855,false,0.5018,1
c_1220006118,false,0.5980,1
c_1222681139,false,0.7988,1
c_1223404910,false,0.5477,1
c_1225769256,false,0.5001,1
c_1226041324,false,0.5156,1
c_1226442731,false,0.6413,1
c_1226994121,false,0.4975,1
c_1228403719,false,0.3808,1
c_1228567666,false,0.5915,1
c_12315854,false,0.5418,1
c_12324686,false,0.4621,1
c_1237708187,false,0.4995,1
c_1240814574,false,0.3215,1
c_1241999769,false,0.5001,1
c_1242315969,false,0.5055,1
c_1243342863,false,0.4728,1
c_1243522820,false,0.6164,1
c_1245298665,false,0.5138,1
c_1248532589,false,0.4523,1
c_1248765312,false,0.4077,1
c_1253032803,false,0.5217,1
c_1254085728,false,0.5181,1
c_1254258895,false,0.2291,1
c_125718857,false,0.5315,1
c_1257836355,false,0.5058,1
c_1258641337,false,0.5018,1
c_125959990,false,0.5736,1
c_1261424268,false,0.5156,1
c_1264806747,false,0.5915,1
c_1266010499,false,0.5414,1
c_1268336526,false,0.9313,1
c_1270175388,false,0.5016,1
c_1271159721,false,0.5217,1
c_12716824,false,0.5160,1
c_1273686478,false,0.0222,1
c_1273899378,false,0.4079,1
c_1275152820,false,0.5001,1
c_1275708382,false,0.5709,1
c_1277202210,false,0.0420,1
c_1277464254,false,0.4995,1
c_1278282603,false,0.4344,1
c_1280565629,false,0.5902,1
c_1281884796,false,0.5915,1
c_128258840,false,0.5018,1
c_1283651073,false,0.5138,1
c_1283751278,false,0.0257,1
c_1286165737,false,0.4037,1
c_1286860918,false,0.5694,1
c_1286997267,false,0.4346,1
c_1289751033,false,0.4773,1
c_1291971664,false,0.5865,1
c_1292033349,false,0.1652,1
c_1292171120,false,0.5801,1
c_1292203372,false,0.4546,1
c_1293016027,false,0.4600,1
c_1294550702,false,0.5730,1
c_129565630,false,0.4600,1
c_1297722987,false,0.3732,1
c_1299856399,false,0.5389,1
c_1300773256,false,0.3854,1
c_1300909718,false,0.5743,1
c_1302175045,false,0.1343,1
c_1304842887,false,0.5636,1
c_1305064148,false,0.4600,1
c_1306993673,false,0.4346,1
c_1309271875,false,0.5217,1
c_1310964975,false,0.5196,1
c_131097851,false,0.5477,1
c_131244628,false,0.3581,1
c_1312537655,false,0.4844,1
c_1312933469,false,0.5915,1
c_1314683306,false,0.5585,1
c_1314823602,false,0.5181,1
c_1317536471,false,0.6075,1
c_1323041202,false,0.2312,1
c_1323867616,false,0.6413,1
c_1324680297,false,0.0156,1
c_1325117141,false,0.5362,1
c_1325302224,false,0.8310,1
c_1326172373,false,0.2091,1
c_1326570106,false,0.5156,1
c_1326874644,false,0.3758,1
c_1329577059,false,0.5055,1
c_1329630120,false,0.5156,1
c_1331678337,false,0.5477,1
c_1333312143,false,0.6075,1
c_1335070161,false,0.4995,1
c_1337091667,false,0.5477,1
c_1339399261,false,0.0701,1
c_1340459622,false,0.6469,1
c_1342529425,false,0.4682,1
c_1343390609,false,0.3230,1
c_1343499545,false,0.4139,1
c_1344840884,false,0.5138,1
c_1346612073,false,0.4991,1
c_1347888391,false,0.3581,1
c_1347988922,false,0.4802,1
c_13495839,false,0.4546,1
c_1353492880,false,0.4077,1
c_1353848792,false,0.3288,1
c_1354066062,false,0.4865,1
c_1356472998,false,0.5736,1
c_1357696952,false,0.2408,1
c_1359639481,false,0.1846,1
c_1359982228,false,0.4612,1
c_1360556476,false,0.5801,1
c_1361510669,false,0.5055,1
c_1362590392,false,0.0210,1
c_1364190015,false,0.5865,1
c_1364469216,false,0.4921,1
c_1365437313,false,0.5636,1
c_136665186,false,0.2412,1
c_1368079884,false,0.5623,1
c_1369206272,false,0.4619,1
c_136943471,false,0.4546,1
c_1370945476,false,0.5160,1
c_1371434911,false,0.5418,1
c_1372277105,false,0.5389,1
c_1372339201,false,0.5694,1
