case_id,label,predictions_true,nr_prefixes
c_1002567868,true,0.3953,1
c_1002747267,true,0.2896,1
c_100886157,false,0.3777,1
c_1009170679,false,0.3067,1
c_1009850069,false,0.3195,1
c_1010390571,true,0.3953,1
c_1012862839,true,0.3806,1
c_1013192848,false,0.3262,1
c_1017053119,false,0.3344,1
c_1017644369,false,0.2828,1
c_1018249155,false,0.4068,1
c_1018266027,false,0.2450,1
c_1019849833,false,0.3953,1
c_102041449,false,0.2961,1
c_1022084723,true,0.2961,1
c_1023366085,true,0.2919,1
c_1024176807,false,0.1760,1
c_1025001096,true,0.3451,1
c_1025696634,false,0.2835,1
c_1030645475,false,0.4068,1
c_103087302,false,0.2919,1
c_103241719,false,0.3375,1
c_1034123285,true,0.3953,1
c_1036492833,false,0.2769,1
c_1037792917,false,0.2681,1
c_1038660996,false,0.3262,1
c_1039200421,true,0.3280,1
c_104045138,true,0.4536,1
c_1041474698,false,0.3777,1
c_1042553173,true,0.3776,1
c_1043190619,false,0.3492,1
c_1043782904,false,0.2961,1
c_1045162022,false,0.2716,1
c_104674625,true,0.3344,1
c_1047194763,true,0.3555,1
c_1048060037,false,0.2896,1
c_1049619167,false,0.3777,1
c_1056684759,true,0.3959,1
c_1059867108,false,0.3169,1
c_1063519740,false,0.4644,1
c_1066046865,true,0.2919,1
c_1068144226,false,0.3652,1
c_107207908,false,0.3549,1
c_1072284879,false,0.2710,1
c_1074738376,false,0.3834,1
c_1077448995,true,0.3982,1
c_1077802585,false,0.3549,1
c_1079472664,true,0.3652,1
c_1079589,false,0.2865,1
c_107990461,false,0.2896,1
c_1081779435,false,0.3115,1
c_1084818261,false,0.3606,1
c_1086182019,false,0.2390,1
c_109019861,false,0.2143,1
c_1091000447,true,0.3104,1
c_1092918410,false,0.3450,1
c_1094370739,true,0.3563,1
c_1095638977,true,0.2828,1
c_1098309211,false,0.3487,1
c_1099430757,true,0.3199,1
c_1099663893,false,0.3262,1
c_109999371,true,0.2835,1
c_1101581774,false,0.3145,1
c_1102024188,false,0.2547,1
c_1102768033,true,0.3169,1
c_1104023817,false,0.3105,1
c_1104697616,false,0.2432,1
c_1105710144,true,0.3982,1
c_1107169322,false,0.3065,1
c_1109500523,false,0.4384,1
c_1111014911,false,0.3330,1
c_1111057678,true,0.3426,1
c_1111168705,true,0.3733,1
c_1112696012,true,0.3777,1
c_1116736783,false,0.5295,1
c_1118140052,true,0.3145,1
c_1119346613,false,0.3169,1
c_1120330039,false,0.3062,1
c_1120345453,false,0.3776,1
c_112225006,true,0.3062,1
c_1122739100,false,0.2919,1
c_1124052442,false,0.3652,1
c_1124681080,false,0.2752,1
c_1124966685,false,0.3670,1
c_1125350344,false,0.3606,1
c_1128308263,true,0.3953,1
c_1130105636,false,0.3652,1
c_1130289017,true,0.3439,1
c_1130845322,false,0.3169,1
c_1131149871,false,0.2919,1
c_1131195736,false,0.3953,1
c_1131588689,true,0.3195,1
c_1135553856,false,0.3169,1
c_1136188668,false,0.3563,1
c_1137251453,false,0.3563,1
c_1139089034,true,0.3652,1
c_1139528532,false,0.3566,1
c_1140019355,false,0.3706,1
