case_id,label,predictions_true,nr_prefixes
c_1002567868,true,0.4224,1
c_1002747267,true,0.3192,1
c_100886157,false,0.3136,1
c_1009170679,false,0.2165,1
c_1009850069,false,0.3638,1
c_1010390571,true,0.4224,1
c_1012862839,true,0.4050,1
c_1013192848,false,0.3367,1
c_1017053119,false,0.3017,1
c_1017644369,false,0.3039,1
c_1018249155,false,0.4174,1
c_1018266027,false,0.1504,1
c_1019849833,false,0.4195,1
c_102041449,false,0.3202,1
c_1022084723,true,0.3202,1
c_1023366085,true,0.2679,1
c_1024176807,false,0.4793,1
c_1025001096,true,0.3420,1
c_1025696634,false,0.2288,1
c_1030645475,false,0.4174,1
c_103087302,false,0.2679,1
c_103241719,false,0.4692,1
c_1034123285,true,0.4195,1
c_1036492833,false,0.2183,1
c_1037792917,false,0.1499,1
c_1038660996,false,0.3739,1
c_1039200421,true,0.3355,1
c_104045138,true,0.0446,1
c_1041474698,false,0.5467,1
c_1042553173,true,0.4457,1
c_1043190619,false,0.0629,1
c_1043782904,false,0.3202,1
c_1045162022,false,0.3769,1
c_104674625,true,0.3247,1
c_1047194763,true,0.3342,1
c_1048060037,false,0.2935,1
c_1049619167,false,0.5467,1
c_1056684759,true,0.4477,1
c_1059867108,false,0.3419,1
c_1063519740,false,0.4992,1
c_1066046865,true,0.2679,1
c_1068144226,false,0.3646,1
c_107207908,false,0.4095,1
c_1072284879,false,0.2244,1
c_1074738376,false,0.8006,1
c_1077448995,true,0.3977,1
c_1077802585,false,0.4095,1
c_1079472664,true,0.3646,1
c_1079589,false,0.2008,1
c_107990461,false,0.2935,1
c_1081779435,false,0.2989,1
c_1084818261,false,0.3647,1
c_1086182019,false,0.3021,1
c_109019861,false,0.2548,1
c_1091000447,true,0.3465,1
c_1092918410,false,0.3140,1
c_1094370739,true,0.3215,1
c_1095638977,true,0.3039,1
c_1098309211,false,0.2763,1
c_1099430757,true,0.3042,1
c_1099663893,false,0.2773,1
c_109999371,true,0.2288,1
c_1101581774,false,0.3769,1
c_1102024188,false,0.2705,1
c_1102768033,true,0.3419,1
c_1104023817,false,0.2562,1
c_1104697616,false,0.1668,1
c_1105710144,true,0.3977,1
c_1107169322,false,0.2750,1
c_1109500523,false,0.3549,1
c_1111014911,false,0.2919,1
c_1111057678,true,0.3489,1
c_1111168705,true,0.4265,1
c_1112696012,true,0.5467,1
c_1116736783,false,0.8556,1
c_1118140052,true,0.3769,1
c_1119346613,false,0.3419,1
c_1120330039,false,0.3390,1
c_1120345453,false,0.4419,1
c_112225006,true,0.3390,1
c_1122739100,false,0.2679,1
c_1124052442,false,0.3646,1
c_1124681080,false,0.2752,1
c_1124966685,false,0.3345,1
c_1125350344,false,0.3028,1
c_1128308263,true,0.4195,1
c_1130105636,false,0.4148,1
c_1130289017,true,0.3553,1
c_1130845322,false,0.3419,1
c_1131149871,false,0.2619,1
c_1131195736,false,0.4287,1
c_1131588689,true,0.3638,1
c_1135553856,false,0.3419,1
c_1136188668,false,0.3215,1
c_1137251453,false,0.3215,1
c_1139089034,true,0.3744,1
c_1139528532,false,0.5240,1
c_1140019355,false,0.3853,1
c_1140236377,true,0.3744,1
c_1140953198,false,0.3977,1
c_1143978311,false,0.3664,1
c_1144411709,false,0.4535,1
c_1145050189,true,0.3586,1
c_1145290276,false,0.4516,1
c_114560083,false,0.3193,1
c_1145960664,false,0.3646,1
c_1151018525,false,0.2619,1
c_1151598575,false,0.3939,1
c_1152706558,true,0.2575,1
c_115875432,true,0.3017,1
c_1159647718,false,0.1999,1
c_1160345889,true,0.2183,1
c_1160716330,true,0.2797,1
c_1161266589,true,0.2720,1
c_1163193079,false,0.3355,1
c_1163291654,true,0.2935,1
c_1164113596,true,0.4148,1
c_1164895484,true,0.3844,1
c_1165924661,false,0.2303,1
c_1166032926,false,0.3028,1
c_1170931347,false,0.5078,1
c_1174968511,false,0.3567,1
c_1175093878,false,0.3161,1
c_1176095926,false,0.2670,1
c_1176372876,false,0.2759,1
c_117667027,true,0.3739,1
c_1178554291,true,0.2537,1
c_1179073626,false,0.2773,1
c_1180717049,false,0.2839,1
c_1181289999,false,0.3690,1
c_1183136852,false,0.3202,1
c_1183534481,false,0.4764,1
c_118364998,true,0.3288,1
c_1184507659,true,0.1614,1
c_1191532637,false,0.0809,1
c_1191648553,false,0.6182,1
c_1191708035,true,0.2919,1
c_1191734939,false,0.2339,1
c_1191906778,true,0.1312,1
c_1194598473,false,0.2703,1
c_1196891456,false,0.3647,1
c_1197487517,true,0.3193,1
c_1201267547,true,0.3419,1
c_1202415638,true,0.3647,1
c_1202702224,true,0.4516,1
c_1204431926,true,0.3358,1
c_1206779440,false,0.4333,1
c_1207519267,true,0.4195,1
c_1208202898,true,0.3426,1
c_1209671482,false,0.3355,1
c_1210140571,false,0.3192,1
c_1210876281,true,0.2685,1
c_1212433332,false,0.3230,1
c_1213009008,false,0.4239,1
c_1213499868,false,0.4224,1
c_1213737526,false,0.8577,1
c_1216887388,false,0.1678,1
c_121770332,false,0.5078,1
c_1219106800,false,0.3424,1
c_1219509855,false,0.3744,1
c_1220006118,true,0.6228,1
c_1222681139,false,0.1861,1
c_1223404910,false,0.3646,1
c_1225769256,true,0.3638,1
c_1226041324,false,0.2773,1
c_1226442731,true,0.3977,1
c_1226994121,false,0.4679,1
c_1228403719,false,0.2720,1
c_1228567666,false,0.3567,1
c_12315854,false,0.2288,1
c_12324686,false,0.3160,1
c_1237708187,true,0.4195,1
c_1240814574,false,0.1672,1
c_1241999769,true,0.3638,1
c_1242315969,true,0.3647,1
c_1243342863,false,0.3247,1
c_1243522820,true,0.0359,1
c_1245298665,true,0.3739,1
c_1248532589,true,0.2407,1
c_1248765312,false,0.3659,1
c_1253032803,true,0.4287,1
c_1254085728,true,0.3039,1
c_1254258895,true,0.0714,1
c_125718857,true,0.3674,1
c_1257836355,false,0.2989,1
c_1258641337,true,0.3744,1
c_125959990,false,0.3193,1
c_1261424268,false,0.2773,1
c_1264806747,true,0.3567,1
c_1266010499,false,0.3424,1
c_1268336526,true,0.2013,1
c_1270175388,true,0.4148,1
c_1271159721,false,0.4287,1
c_12716824,true,0.3342,1
c_1273686478,false,0.0629,1
c_1273899378,false,0.3420,1
c_1275152820,false,0.3638,1
c_1275708382,false,0.2619,1
