case_id,ground_truth,predictions_true,nr_prefixes
201559,1161671.0000,2149805.05833,1
201562,2589273.0000,1547496.425,1
201565,0.0000,395289.2625,1
201568,1991630.0000,1090657.1125,1
201571,0.0000,191792.8625,1
201580,0.0000,180379.891667,1
201599,57.0000,400422.645833,1
201602,617651.0000,1612336.0625,1
201605,2594124.0000,1414666.59792,1
201608,0.0000,294460.3875,1
201611,4315851.0000,785825.091667,1
201614,0.0000,1578066.79167,1
201617,2670177.0000,2158589.74167,1
201620,0.0000,44426.9791667,1
201626,0.0000,1171508.40833,1
201629,90876.0000,827882.5,1
201635,1128539.0000,409021.029167,1
201644,1284786.0000,1871261.29167,1
201662,2409109.0000,2127371.41667,1
201665,0.0000,299187.504167,1
201668,1799888.0000,1183992.80417,1
201671,0.0000,1232395.95868,1
201674,1732041.0000,968152.654167,1
201677,2657465.0000,1781357.06667,1
201680,1710680.0000,1947290.0625,1
201683,258205.0000,1603198.7625,1
201686,1139516.0000,2166925.41667,1
201689,0.0000,1399898.80417,1
201692,1202462.0000,1502031.14167,1
201695,763008.0000,2213488.32917,1
201701,782775.0000,1466124.49167,1
201704,1391783.0000,1580771.81667,1
201710,1972023.0000,1637303.52083,1
201713,0.0000,1555332.80833,1
201716,1790777.0000,1554071.725,1
201719,757003.0000,1674314.0375,1
201722,842495.0000,1654691.98333,1
201725,2581982.0000,570242.654167,1
201728,0.0000,281111.470972,1
201731,15773.0000,639762.491667,1
201737,0.0000,797926.304167,1
201740,1701580.0000,2020123.9875,1
201743,3677686.0000,1464165.29167,1
201746,0.0000,543837.595,1
201749,2470745.0000,1139630.05833,1
201752,1199876.0000,510159.466667,1
201755,2086294.0000,1741046.0,1
201758,1440759.0000,952727.3625,1
201761,1781039.0000,974010.129167,1
201767,5910.0000,664426.485417,1
201770,2916828.0000,1864096.775,1
201776,0.0000,432498.383333,1
201779,2308875.0000,486135.066667,1
201782,1257900.0000,1633219.60417,1
201794,1971329.0000,2023195.4,1
201797,2639095.0000,345689.941667,1
201800,779815.0000,557507.0625,1
201803,531727.0000,976387.216667,1
201812,0.0000,730793.216667,1
201815,0.0000,2785466.22083,1
201821,610734.0000,1192350.05,1
201824,2587134.0000,1233830.70417,1
201830,0.0000,558752.059375,1
201833,2601578.0000,1417053.54167,1
201836,1907198.0000,512869.408333,1
201839,0.0000,677139.560903,1
201842,3369788.0000,683733.2125,1
201845,1711014.0000,571134.75,1
201848,2849302.0000,2247016.20792,1
201851,0.0000,166796.800694,1
201854,4860827.0000,2036788.24583,1
201857,0.0000,274592.914792,1
201879,1316050.0000,502175.202083,1
201882,2676584.0000,34043.1,1
201885,2963244.0000,510001.179167,1
201888,1136011.0000,1107171.05417,1
201891,3452022.0000,879702.811111,1
201894,629421.0000,615788.908333,1
201895,1383090.0000,1728607.5375,1
201900,1292887.0000,152617.0125,1
201903,81498.0000,62381.7791667,1
201906,1760.0000,1562221.08333,1
201909,2932106.0000,1811442.29167,1
201912,482.0000,398782.8625,1
201915,2670772.0000,1070199.35833,1
201918,617909.0000,1034142.8875,1
201921,2670440.0000,1049353.3125,1
201924,2455.0000,1065932.875,1
201927,2667785.0000,1528939.74167,1
201930,641058.0000,1073310.44167,1
201933,2041.0000,712472.195833,1
201936,2667226.0000,1438893.61667,1
201939,0.0000,224658.0125,1
201942,113516.0000,292806.152083,1
201945,0.0000,1274958.65521,1
201948,0.0000,1664005.68194,1
201951,1996782.0000,258103.75,1
201954,0.0000,1967316.84028,1
201960,0.0000,2531187.07006,1
201963,0.0000,1467150.06111,1
201966,0.0000,1430546.15812,1
201969,431.0000,82819.1083333,1
201972,0.0000,1855179.05694,1
201975,0.0000,1855179.05694,1
201978,0.0000,1985439.73194,1
201981,0.0000,1467150.06111,1
201984,0.0000,1529858.43194,1
201987,6018.0000,502448.4125,1
201990,0.0000,2600617.26389,1
201993,0.0000,127785.016667,1
201996,332.0000,576689.370833,1
201999,351.0000,538239.358333,1
202002,620225.0000,1956354.00417,1
202005,793356.0000,1324923.2,1
202008,0.0000,920559.525,1
202011,0.0000,390559.207222,1
202014,0.0000,614856.416667,1
202020,1663294.0000,1950026.6125,1
202023,0.0000,1543113.77083,1
202026,2522847.0000,568713.8125,1
202029,1098506.0000,638802.7625,1
202032,0.0000,867887.925,1
202035,1721473.0000,1793483.775,1
202038,4425419.0000,338533.0125,1
202039,2655734.0000,1659021.67111,1
202044,1896783.0000,1480607.49306,1
202047,2654407.0000,1618414.34583,1
202050,1873177.0000,1557036.0025,1
202056,2651748.0000,926031.125,1
202059,1296537.0000,1426046.31667,1
202062,677339.0000,99870.5375,1
202065,4493.0000,1363268.67083,1
202068,3249060.0000,1957152.74583,1
202071,3424352.0000,1230374.03333,1
202074,1802137.0000,916821.766667,1
202077,1858.0000,875432.975,1
202080,2643902.0000,471116.258333,1
202083,463.0000,398549.291667,1
202086,1784214.0000,562004.3375,1
202089,750838.0000,3156757.34583,1
202095,1188074.0000,1759794.39,1
202101,680908.0000,578276.45,1
202107,1087277.0000,1082364.40833,1
202110,1716915.0000,881149.8375,1
202113,1257239.0000,1725067.41354,1
202116,480629.0000,619287.641667,1
202119,400776.0000,1036373.49167,1
202122,1030410.0000,1191973.52083,1
202125,0.0000,22729.7291667,1
202128,750215.0000,586097.399722,1
202134,0.0000,926758.1275,1
202137,1027577.0000,325861.3375,1
202140,0.0000,1076722.97292,1
202143,1333696.0000,544869.333333,1
202146,0.0000,1398199.58333,1
202149,2586991.0000,62009.6958333,1
202152,28888.0000,566852.4125,1
202155,15319.0000,261306.7,1
202158,0.0000,902892.46,1
202159,0.0000,305702.325,1
202164,0.0000,579519.889583,1
202170,0.0000,905851.86369,1
202173,12795.0000,687519.183333,1
202179,16807.0000,359691.341667,1
202182,3726686.0000,697651.2875,1
202185,1551082.0000,195691.491667,1
202191,0.0000,376991.616667,1
202199,0.0000,410754.391667,1
202202,0.0000,543379.895833,1
202205,963184.0000,1544221.92083,1
202208,0.0000,1166383.54583,1
202211,2149801.0000,1419802.175,1
202223,1928641.0000,552206.341667,1
202238,0.0000,1264285.23972,1
202241,101.0000,101676.554167,1
202247,1202490.0000,2345839.95417,1
202253,779737.0000,1564438.38333,1
202256,3640097.0000,294539.104167,1
202259,2654531.0000,1133294.57917,1
202265,0.0000,451156.116667,1
202268,0.0000,1149274.5875,1
202271,3362734.0000,1735964.37917,1
202277,0.0000,254104.075347,1
202283,291.0000,617784.020833,1
202289,2647972.0000,2137821.07083,1
202292,689632.0000,336374.995833,1
202298,1109417.0000,1309811.0,1
202301,0.0000,256179.795833,1
202304,1280.0000,485855.8375,1
202307,4741867.0000,641300.697917,1
202310,679906.0000,1254972.80833,1
202319,0.0000,1244962.125,1
202322,1033.0000,145077.670833,1
202325,1630864.0000,1499987.17083,1
202331,6559.0000,210368.570833,1
202334,0.0000,587361.3,1
202340,1558908.0000,1808036.31667,1
202343,2422240.0000,1282159.4375,1
202346,7504.0000,1547081.9375,1
202352,0.0000,668571.983333,1
202355,116.0000,134134.1,1
202358,4282487.0000,1442627.87917,1
202361,2405893.0000,1457423.54167,1
202373,2585201.0000,1535485.81667,1
202379,2635989.0000,1098565.15,1
202382,1539132.0000,504687.619444,1
202385,2584965.0000,1149206.28333,1
