case_id,ground_truth,predictions_true,nr_prefixes
c_1002567868,580622.0000,2002388.92981,1
c_1002747267,625977.0000,2246480.77854,1
c_100886157,2066628.0000,2042097.49319,1
c_1009170679,2571045.0000,1899173.42718,1
c_1009850069,1121027.0000,2174578.79318,1
c_1010390571,685899.0000,2002388.92981,1
c_1012862839,688954.0000,2043638.26666,1
c_1013192848,2384632.0000,2112752.69837,1
c_1017053119,801080.0000,1800810.89559,1
c_1017644369,1391407.0000,2264876.94395,1
c_1018249155,682807.0000,2204455.22423,1
c_1018266027,1136376.0000,1620944.079,1
c_1019849833,850156.0000,2002388.92981,1
c_102041449,480343.0000,2281987.23502,1
c_1022084723,1191292.0000,2281987.23502,1
c_1023366085,1005954.0000,2281987.23502,1
c_1024176807,1383107.0000,1507305.29268,1
c_1025001096,596359.0000,1720973.52659,1
c_1025696634,1201996.0000,2332865.44358,1
c_1030645475,676322.0000,2204455.22423,1
c_103087302,752217.0000,2281987.23502,1
c_103241719,1354248.0000,2397877.47207,1
c_1034123285,2310874.0000,2002388.92981,1
c_1036492833,634670.0000,1905130.48643,1
c_1037792917,1207857.0000,1593926.97462,1
c_1038660996,1896208.0000,2112752.69837,1
c_1039200421,2068132.0000,2221494.48363,1
c_104045138,632387.0000,2533086.9067,1
c_1041474698,147012.0000,2079756.00688,1
c_1042553173,815539.0000,2264117.02424,1
c_1043190619,261798.0000,1221091.07561,1
c_1043782904,936955.0000,2281987.23502,1
c_1045162022,455.0000,1889070.92725,1
c_104674625,682.0000,1781954.91865,1
c_1047194763,601542.0000,2111285.11476,1
c_1048060037,2160649.0000,2201697.93504,1
c_1049619167,999088.0000,2079756.00688,1
c_1056684759,516967.0000,1859698.39997,1
c_1059867108,610693.0000,2325104.27564,1
c_1063519740,1536239.0000,1926844.81254,1
c_1066046865,1771958.0000,2281987.23502,1
c_1068144226,157591.0000,2146812.37095,1
c_107207908,2073082.0000,1680382.89544,1
c_1072284879,587618.0000,2048883.83652,1
c_1074738376,90749.0000,1689569.81233,1
c_1077448995,334224.0000,2185862.74141,1
c_1077802585,595987.0000,1680382.89544,1
c_1079472664,1604140.0000,2146812.37095,1
c_1079589,2320394.0000,2231750.55546,1
c_107990461,1142678.0000,2201697.93504,1
c_1081779435,1633135.0000,1942104.58387,1
c_1084818261,2330807.0000,2039822.37896,1
c_1086182019,830444.0000,1906939.71491,1
c_109019861,1192108.0000,2032332.10076,1
c_1091000447,845944.0000,2050424.60999,1
c_1092918410,2503403.0000,1760929.49761,1
c_1094370739,1174453.0000,2117189.45603,1
c_1095638977,1462396.0000,2264876.94395,1
c_1098309211,258484.0000,1847598.33045,1
c_1099430757,1990399.0000,1945448.42055,1
c_1099663893,1194892.0000,2189432.15686,1
c_109999371,719482.0000,2332865.44358,1
c_1101581774,1133955.0000,2144526.17276,1
c_1102024188,1061866.0000,1431121.47498,1
c_1102768033,502455.0000,2325104.27564,1
c_1104023817,1173485.0000,2219112.21142,1
c_1104697616,1198765.0000,1851344.47089,1
c_1105710144,949861.0000,2185862.74141,1
c_1107169322,8667.0000,1842627.41811,1
c_1109500523,2287860.0000,2362060.40818,1
c_1111014911,607560.0000,1824107.23872,1
c_1111057678,678237.0000,1827893.76714,1
c_1111168705,1085446.0000,2303420.17322,1
c_1112696012,843369.0000,2079756.00688,1
c_1116736783,263190.0000,1554737.03752,1
c_1118140052,954988.0000,2144526.17276,1
c_1119346613,1543556.0000,2325104.27564,1
c_1120330039,586484.0000,2219112.21142,1
c_1120345453,1247137.0000,2264117.02424,1
c_112225006,837201.0000,2219112.21142,1
c_1122739100,1171939.0000,2281987.23502,1
c_1124052442,573464.0000,2146812.37095,1
c_1124681080,880945.0000,2212201.8444,1
c_1124966685,771028.0000,2094923.29679,1
c_1125350344,564019.0000,2146812.37095,1
c_1128308263,171196.0000,2002388.92981,1
c_1130105636,1323764.0000,2089712.50907,1
c_1130289017,766562.0000,2302783.35455,1
c_1130845322,1105698.0000,2325104.27564,1
c_1131149871,657486.0000,2246454.78215,1
c_1131195736,757202.0000,2092254.11238,1
c_1131588689,1639373.0000,2174578.79318,1
c_1135553856,1029912.0000,2325104.27564,1
c_1136188668,2313548.0000,2117189.45603,1
c_1137251453,1087556.0000,2117189.45603,1
c_1139089034,1227500.0000,2021853.33443,1
c_1139528532,1018465.0000,1793730.725,1
c_1140019355,445492.0000,2094610.53285,1
c_1140236377,879021.0000,2021853.33443,1
c_1140953198,1293143.0000,2185862.74141,1
c_1143978311,684065.0000,1998211.35533,1
c_1144411709,618634.0000,1436759.24534,1
c_1145050189,1337778.0000,2276111.50506,1
c_1145290276,1388025.0000,2117763.8182,1
