sequence_nr,activity_name,Resource,time,Responsible_actor,SUMleges,label,Aanleg,Bouw,Brandveilig_melding,Brandveilig_vergunning,Handelen_strijd,Kap,Milieu_melding,Milieu_neutraal_wijziging,Milieu_vergunning,Monument,Reclame,Sloop,monitoringResource,question,duration,weekday,hour,event_nr,last,remtime
3251070,enter senddate decision environmental permit,560749,2011-01-03 09:00:00,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0,0,9,1,false,345600
3251070,enter senddate procedure confirmation,560749,2011-01-03 09:00:00,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0,0,9,2,false,345600
3251070,register date environmental permit decision,560749,2011-01-03 09:00:00,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0,0,9,3,false,345600
3251070,registrer date of publishing received request,560749,2011-01-03 09:00:00,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0,0,9,4,false,345600
3251070,enter senddate acknowledgement,560749,2011-01-03 09:00:00,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0,0,9,5,false,345600
3251070,register submission date request,560749,2011-01-04 00:22:01,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,922.016666667,1,0,6,false,290279
3251070,phase application received,560749,2011-01-04 00:26:49,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,4.8,1,0,7,false,289991
3251070,reception through OLO,560749,2011-01-04 00:26:52,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,False,0.05,1,0,8,false,289988
3251070,send confirmation receipt,560749,2011-01-04 00:33:36,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,6.7333333333,1,0,9,false,289584
3251070,forward to the competent authority,560749,2011-01-04 00:33:48,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,False,0.2,1,0,10,false,289572
3251070,regular procedure without MER,560749,2011-01-04 00:33:56,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,True,0.1333333333,1,0,11,false,289564
3251070,send procedure confirmation,560749,2011-01-04 00:37:03,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,3.1166666667,1,0,12,false,289377
3251070,extend procedure term,560749,2011-01-04 00:37:14,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,False,0.1833333333,1,0,13,false,289366
3251070,registrer date of publishing received request,560749,2011-01-04 00:45:41,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,8.45,1,0,14,false,288859
3251070,treat subcases completeness,560749,2011-01-04 00:45:59,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0.3,1,0,15,false,288841
3251070,subcases completeness completed,560749,2011-01-04 00:46:01,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0.0333333333,1,0,16,false,288839
3251070,WAW permit aspect,560749,2011-01-04 00:46:14,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,False,0.2166666667,1,0,17,false,288826
3251070,applicant is stakeholder,560749,2011-01-04 00:46:19,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,True,0.0833333333,1,0,18,false,288821
3251070,terminate on request,560749,2011-01-04 00:46:26,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,False,0.1166666667,1,0,19,false,288814
3251070,activities regular procedure,560749,2011-01-04 00:46:37,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,True,0.1833333333,1,0,20,false,288803
3251070,regular procedure applies,560749,2011-01-04 00:53:57,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,7.3333333333,1,0,21,false,288363
3251070,request complete,560749,2011-01-04 00:54:12,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,True,0,1,0,22,false,288348
3251070,phase application receptive,560749,2011-01-04 00:54:12,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0.25,1,0,23,false,288348
3251070,WAW permit aspect,560749,2011-01-04 00:54:20,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,False,0.1333333333,1,0,24,false,288340
3251070,treat subcases content,560749,2011-01-04 00:54:31,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0.1833333333,1,0,25,false,288329
3251070,completed subcases content,560749,2011-01-04 00:54:34,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0.05,1,0,26,false,288326
3251070,article 34  WABO applies,560749,2011-01-04 00:54:39,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,False,0.0833333333,1,0,27,false,288321
3251070,phase advice known,560749,2011-01-04 00:54:43,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0,1,0,28,false,288317
3251070,assessment of content completed,560749,2011-01-04 00:54:43,560696,0,false,0,0,0,0,0,0,0,0,0,0,0,0,560696,EMPTY,0.0666666667,1,0,29,false,288317
